id,name,category,description,weight
1,Python,Technical,Proficiency in Python,1.47
2,JavaScript,Technical,Proficiency in JavaScript,1.78
3,Java,Technical,Proficiency in Java,1.74
4,C++,Technical,Proficiency in C++,1.52
5,SQL,Technical,Proficiency in SQL,1.23
6,MongoDB,Technical,Proficiency in MongoDB,1.39
7,React,Technical,Proficiency in React,1.39
8,Angular,Technical,Proficiency in Angular,1.55
9,Node.js,Technical,Proficiency in Node.js,1.63
10,Docker,Technical,Proficiency in Docker,1.24
11,Kubernetes,Technical,Proficiency in Kubernetes,1.7
12,AWS,Technical,Proficiency in AWS,1.33
13,Azure,Technical,Proficiency in Azure,1.32
14,GCP,Technical,Proficiency in GCP,1.28
15,Data Analysis,Analytical,Proficiency in Data Analysis,1.72
16,Statistics,Analytical,Proficiency in Statistics,1.89
17,Machine Learning,Analytical,Proficiency in Machine Learning,1.34
18,Deep Learning,Analytical,Proficiency in Deep Learning,1.77
19,Business Intelligence,Analytical,Proficiency in Business Intelligence,1.71
20,Excel,Analytical,Proficiency in Excel,1.31
21,Tableau,Analytical,Proficiency in Tableau,1.76
22,Power BI,Analytical,Proficiency in Power BI,1.57
23,Project Management,Management,Proficiency in Project Management,1.33
24,Team Leadership,Management,Proficiency in Team Leadership,1.38
25,Agile,Management,Proficiency in Agile,1.17
26,Scrum,Management,Proficiency in Scrum,1.32
27,Communication,Management,Proficiency in Communication,1.25
28,Strategic Planning,Management,Proficiency in Strategic Planning,1.16
29,UI Design,Design,Proficiency in UI Design,1.53
30,UX Research,Design,Proficiency in UX Research,1.5
31,Figma,Design,Proficiency in Figma,1.52
32,Adobe Creative Suite,Design,Proficiency in Adobe Creative Suite,1.36
33,Prototyping,Design,Proficiency in Prototyping,1.32
34,User Testing,Design,Proficiency in User Testing,1.45
